date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:17	67189/67189	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:17%20GMT	https://daddylive.fun/stream/stream-432.php	F:/sports/dady/daddylive.fun/stream/stream-432.html	(from https://daddylive.fun/)
15:11:17	67189/67189	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:18%20GMT	https://daddylive.fun/stream/stream-413.php	F:/sports/dady/daddylive.fun/stream/stream-413.html	(from https://daddylive.fun/)
15:11:17	54434/54434	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:18%20GMT	https://daddylive.fun/stream/stream-4.php	F:/sports/dady/daddylive.fun/stream/stream-4.html	(from https://daddylive.fun/)
15:11:18	54875/54875	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:19%20GMT	https://daddylive.fun/stream/stream-8.php	F:/sports/dady/daddylive.fun/stream/stream-8.html	(from https://daddylive.fun/)
15:11:18	54443/54443	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:19%20GMT	https://daddylive.fun/stream/stream-32.php	F:/sports/dady/daddylive.fun/stream/stream-32.html	(from https://daddylive.fun/)
15:11:18	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:19%20GMT	https://daddylive.fun/stream/stream-117.php	F:/sports/dady/daddylive.fun/stream/stream-117.html	(from https://daddylive.fun/)
15:11:19	54422/54422	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:20%20GMT	https://daddylive.fun/stream/stream-56.php	F:/sports/dady/daddylive.fun/stream/stream-56.html	(from https://daddylive.fun/)
15:11:19	54893/54893	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:20%20GMT	https://daddylive.fun/stream/stream-74.php	F:/sports/dady/daddylive.fun/stream/stream-74.html	(from https://daddylive.fun/)
15:11:20	54460/54460	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:21%20GMT	https://daddylive.fun/stream/stream-71.php	F:/sports/dady/daddylive.fun/stream/stream-71.html	(from https://daddylive.fun/)
15:11:20	54451/54451	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:21%20GMT	https://daddylive.fun/stream/stream-85.php	F:/sports/dady/daddylive.fun/stream/stream-85.html	(from https://daddylive.fun/)
15:11:21	66749/66749	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:22%20GMT	https://daddylive.fun/stream/stream-401.php	F:/sports/dady/daddylive.fun/stream/stream-401.html	(from https://daddylive.fun/)
15:11:21	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:22%20GMT	https://daddylive.fun/stream/stream-149.php	F:/sports/dady/daddylive.fun/stream/stream-149.html	(from https://daddylive.fun/)
15:11:22	54435/54435	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:23%20GMT	https://daddylive.fun/stream/stream-9.php	F:/sports/dady/daddylive.fun/stream/stream-9.html	(from https://daddylive.fun/)
15:11:22	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:23%20GMT	https://daddylive.fun/stream/stream-104.php	F:/sports/dady/daddylive.fun/stream/stream-104.html	(from https://daddylive.fun/)
15:11:22	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:23%20GMT	https://daddylive.fun/stream/stream-49.php	F:/sports/dady/daddylive.fun/stream/stream-49.html	(from https://daddylive.fun/)
15:11:23	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:24%20GMT	https://daddylive.fun/stream/stream-386.php	F:/sports/dady/daddylive.fun/stream/stream-386.html	(from https://daddylive.fun/)
15:11:24	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:25%20GMT	https://daddylive.fun/stream/stream-10.php	F:/sports/dady/daddylive.fun/stream/stream-10.html	(from https://daddylive.fun/)
15:11:24	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:25%20GMT	https://daddylive.fun/stream/stream-11.php	F:/sports/dady/daddylive.fun/stream/stream-11.html	(from https://daddylive.fun/)
15:11:25	54438/54438	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:26%20GMT	https://daddylive.fun/stream/stream-22.php	F:/sports/dady/daddylive.fun/stream/stream-22.html	(from https://daddylive.fun/)
15:11:25	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:26%20GMT	https://daddylive.fun/stream/stream-12.php	F:/sports/dady/daddylive.fun/stream/stream-12.html	(from https://daddylive.fun/)
15:11:26	54460/54460	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:27%20GMT	https://daddylive.fun/stream/stream-35.php	F:/sports/dady/daddylive.fun/stream/stream-35.html	(from https://daddylive.fun/)
15:11:26	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:27%20GMT	https://daddylive.fun/stream/stream-116.php	F:/sports/dady/daddylive.fun/stream/stream-116.html	(from https://daddylive.fun/)
15:11:26	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:27%20GMT	https://daddylive.fun/stream/stream-138.php	F:/sports/dady/daddylive.fun/stream/stream-138.html	(from https://daddylive.fun/)
15:11:26	54466/54466	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:27%20GMT	https://daddylive.fun/stream/stream-50.php	F:/sports/dady/daddylive.fun/stream/stream-50.html	(from https://daddylive.fun/)
15:11:27	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:28%20GMT	https://daddylive.fun/stream/stream-16.php	F:/sports/dady/daddylive.fun/stream/stream-16.html	(from https://daddylive.fun/)
15:11:28	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:29%20GMT	https://daddylive.fun/stream/stream-428.php	F:/sports/dady/daddylive.fun/stream/stream-428.html	(from https://daddylive.fun/)
15:11:28	54422/54422	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:29%20GMT	https://daddylive.fun/stream/stream-61.php	F:/sports/dady/daddylive.fun/stream/stream-61.html	(from https://daddylive.fun/)
15:11:28	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:29%20GMT	https://daddylive.fun/stream/stream-125.php	F:/sports/dady/daddylive.fun/stream/stream-125.html	(from https://daddylive.fun/)
15:11:29	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:30%20GMT	https://daddylive.fun/stream/stream-130.php	F:/sports/dady/daddylive.fun/stream/stream-130.html	(from https://daddylive.fun/)
15:11:29	54464/54464	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:30%20GMT	https://daddylive.fun/stream/stream-38.php	F:/sports/dady/daddylive.fun/stream/stream-38.html	(from https://daddylive.fun/)
15:11:30	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:31%20GMT	https://daddylive.fun/stream/stream-119.php	F:/sports/dady/daddylive.fun/stream/stream-119.html	(from https://daddylive.fun/)
15:11:30	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:31%20GMT	https://daddylive.fun/stream/stream-98.php	F:/sports/dady/daddylive.fun/stream/stream-98.html	(from https://daddylive.fun/)
15:11:30	54458/54458	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:31%20GMT	https://daddylive.fun/stream/stream-73.php	F:/sports/dady/daddylive.fun/stream/stream-73.html	(from https://daddylive.fun/)
15:11:30	54443/54443	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:31%20GMT	https://daddylive.fun/stream/stream-83.php	F:/sports/dady/daddylive.fun/stream/stream-83.html	(from https://daddylive.fun/)
15:11:31	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:32%20GMT	https://daddylive.fun/stream/stream-150.php	F:/sports/dady/daddylive.fun/stream/stream-150.html	(from https://daddylive.fun/)
15:11:31	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:32%20GMT	https://daddylive.fun/stream/stream-141.php	F:/sports/dady/daddylive.fun/stream/stream-141.html	(from https://daddylive.fun/)
15:11:32	54449/54449	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:32%20GMT	https://daddylive.fun/stream/stream-34.php	F:/sports/dady/daddylive.fun/stream/stream-34.html	(from https://daddylive.fun/)
15:11:32	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:33%20GMT	https://daddylive.fun/stream/stream-139.php	F:/sports/dady/daddylive.fun/stream/stream-139.html	(from https://daddylive.fun/)
15:11:32	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:33%20GMT	https://daddylive.fun/stream/stream-137.php	F:/sports/dady/daddylive.fun/stream/stream-137.html	(from https://daddylive.fun/)
15:11:32	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:33%20GMT	https://daddylive.fun/stream/stream-92.php	F:/sports/dady/daddylive.fun/stream/stream-92.html	(from https://daddylive.fun/)
15:11:33	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:34%20GMT	https://daddylive.fun/stream/stream-127.php	F:/sports/dady/daddylive.fun/stream/stream-127.html	(from https://daddylive.fun/)
15:11:33	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:34%20GMT	https://daddylive.fun/stream/stream-440.php	F:/sports/dady/daddylive.fun/stream/stream-440.html	(from https://daddylive.fun/)
15:11:34	54879/54879	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:35%20GMT	https://daddylive.fun/stream/stream-81.php	F:/sports/dady/daddylive.fun/stream/stream-81.html	(from https://daddylive.fun/)
